dobs,d_pre
0.7970973980472039,0.7092198221081678
0.42695862304617616,0.39918274398178627
0.6256574297966047,0.5690837559482503
0.575102426859359,0.5275736498455901
1.0563580544931146,0.9215953082714097
0.41572401099345496,0.4715364743821814
0.603135716852208,0.5499357158143042
0.4443041463866953,0.41454731418803453
0.3871771388179356,0.344614924923761
0.6055201362679292,0.5500408576286585
0.536162086971203,0.5900704188289542
0.6662095245292421,0.6028304752773422
0.5070189498060961,0.4690886670603948
0.7590299598864308,0.8088713466187054
0.6504949168119925,0.7043822888206771
0.7839775779362301,0.6952763055029977
0.8659819422544159,0.9255172549830676
0.7085189567311456,0.7604408968825712
0.5700700887830417,0.6240046719130669
0.5241417722080776,0.57625689708077
0.46740959826936634,0.43083950325662834
0.5870868097093657,0.5344722414400707
0.46246300812736096,0.5005726641890842
0.7351968654250299,0.7880114889568364
1.012111196452354,0.8874514578227747
0.7088620743321953,0.7642384255436275
0.7539172993788168,0.6713675537713322
0.7370165819139276,0.6527781466187631
0.6483747236129342,0.5882488960183159
0.8592677870725994,0.7611596076383866
